Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),Air pore space (%),Clay %,exposure time,Iron and Steel Type,Pipe Diameter (inches),Loss Oz/ft2
13.2,5.3,33.1,6.9,40.3,12,Bessemer Steel,1.5,5.3
13.2,5.3,33.1,6.9,40.3,17.4,Bessemer Steel,1.5,7
137,4.7,34.8,14.9,45.8,2,Bessemer Steel,1.5,3.1
137,4.7,34.8,14.9,45.8,4.1,Bessemer Steel,1.5,5.9
137,4.7,34.8,14.9,45.8,6,Bessemer Steel,1.5,7.3
137,4.7,34.8,14.9,45.8,8,Bessemer Steel,1.5,9.3
137,4.7,34.8,14.9,45.8,10.1,Bessemer Steel,1.5,12.5
137,4.7,34.8,14.9,45.8,12,Bessemer Steel,1.5,17.4
0.6,3.1,55.4,68.9,65,1.3,Bessemer Steel,1.5,2.8
0.6,3.1,55.4,68.9,65,4.1,Bessemer Steel,1.5,4.8
0.6,3.1,55.4,68.9,65,6.2,Bessemer Steel,1.5,7.1
0.6,3.1,55.4,68.9,65,8,Bessemer Steel,1.5,11.4
0.6,3.1,55.4,68.9,65,9.9,Bessemer Steel,1.5,17
0.6,3.1,55.4,68.9,65,12,Bessemer Steel,1.5,17.6
10,8.8,31.2,7.2,31.2,1.1,Bessemer Steel,1.5,0.5
10,8.8,31.2,7.2,31.2,3.6,Bessemer Steel,1.5,1.8
10,8.8,31.2,7.2,31.2,5.7,Bessemer Steel,1.5,2.4
10,8.8,31.2,7.2,31.2,7.6,Bessemer Steel,1.5,3
10,8.8,31.2,7.2,31.2,11.6,Bessemer Steel,1.5,3.5
2.63,7.4,14.8,18.7,26.7,1.2,Bessemer Steel,1.5,1.3
2.63,7.4,14.8,18.7,26.7,3.8,Bessemer Steel,1.5,3.3
2.63,7.4,14.8,18.7,26.7,5.8,Bessemer Steel,1.5,3.5
2.63,7.4,14.8,18.7,26.7,7.7,Bessemer Steel,1.5,3.8
2.63,7.4,14.8,18.7,26.7,9.8,Bessemer Steel,1.5,12.1
2.63,7.4,14.8,18.7,26.7,11.7,Bessemer Steel,1.5,9.3
15,7,7.6,23.2,30.9,1.5,Bessemer Steel,1.5,0.9
15,7,7.6,23.2,30.9,4,Bessemer Steel,1.5,2.6
15,7,7.6,23.2,30.9,5.1,Bessemer Steel,1.5,3
15,7,7.6,23.2,30.9,8,Bessemer Steel,1.5,3.7
15,7,7.6,23.2,30.9,10.2,Bessemer Steel,1.5,4.1
15,7,7.6,23.2,30.9,12,Bessemer Steel,1.5,4.4
17.7,7.6,25.7,2.6,46.1,1.5,Bessemer Steel,1.5,0.4
17.7,7.6,25.7,2.6,46.1,4.1,Bessemer Steel,1.5,1.3
17.7,7.6,25.7,2.6,46.1,6.1,Bessemer Steel,1.5,1.6
17.7,7.6,25.7,2.6,46.1,8,Bessemer Steel,1.5,1.8
17.7,7.6,25.7,2.6,46.1,12.1,Bessemer Steel,1.5,2.8
17.7,7.6,25.7,2.6,46.1,17.1,Bessemer Steel,1.5,8.1
1.9,6.2,47.4,4.4,7.8,2,Bessemer Steel,1.5,7.4
1.9,6.2,47.4,4.4,7.8,5.4,Bessemer Steel,1.5,12.7
1.9,6.2,47.4,4.4,7.8,7.5,Bessemer Steel,1.5,11.5
1.9,6.2,47.4,4.4,7.8,14.3,Bessemer Steel,1.5,21
85,4.9,29.4,5.4,1.2,2,Bessemer Steel,1.5,2.7
85,4.9,29.4,5.4,1.2,5.5,Bessemer Steel,1.5,3
85,4.9,29.4,5.4,1.2,7.6,Bessemer Steel,1.5,4.2
85,4.9,29.4,5.4,1.2,9.5,Bessemer Steel,1.5,4.3
85,4.9,29.4,5.4,1.2,14.3,Bessemer Steel,1.5,4.4
52.1,5.8,32,15.5,13.2,1.9,Bessemer Steel,1.5,2.2
52.1,5.8,32,15.5,13.2,5.2,Bessemer Steel,1.5,2.4
52.1,5.8,32,15.5,13.2,7.1,Bessemer Steel,1.5,3.2
52.1,5.8,32,15.5,13.2,9.1,Bessemer Steel,1.5,3.8
52.1,5.8,32,15.5,13.2,14.2,Bessemer Steel,1.5,4.1
2.34,8.8,28.7,5,24.5,2,Bessemer Steel,1.5,4
2.34,8.8,28.7,5,24.5,5.4,Bessemer Steel,1.5,13.9
2.34,8.8,28.7,5,24.5,7.5,Bessemer Steel,1.5,21
2.34,8.8,28.7,5,24.5,9.4,Bessemer Steel,1.5,28.8
2.34,8.8,28.7,5,24.5,14.4,Bessemer Steel,1.5,35.2
7.12,4.2,57.8,22.4,29.8,2,Bessemer Steel,1.5,4
7.12,4.2,57.8,22.4,29.8,5.4,Bessemer Steel,1.5,13.9
7.12,4.2,57.8,22.4,29.8,7.5,Bessemer Steel,1.5,21
7.12,4.2,57.8,22.4,29.8,9.4,Bessemer Steel,1.5,28.8
7.12,4.2,57.8,22.4,29.8,14.4,Bessemer Steel,1.5,35.2
1.66,5.6,43.6,3.47,9.8,5.1,Bessemer Steel,1.5,2.1
1.66,5.6,43.6,3.47,9.8,7.2,Bessemer Steel,1.5,3
1.66,5.6,43.6,3.47,9.8,9.1,Bessemer Steel,1.5,4.7
1.66,5.6,43.6,3.47,9.8,14.2,Bessemer Steel,1.5,3.9
2.18,2.6,43.4,33.2,46.2,1.9,Bessemer Steel,1.5,6.2
2.18,2.6,43.4,33.2,46.2,5.2,Bessemer Steel,1.5,7.6
2.18,2.6,43.4,33.2,46.2,7.3,Bessemer Steel,1.5,11
2.18,2.6,43.4,33.2,46.2,9.2,Bessemer Steel,1.5,16.7
2.18,2.6,43.4,33.2,46.2,14.3,Bessemer Steel,1.5,28.8
12.15,7,28.6,1.1,46.2,1,Open Hearth iron,1.5,1.1
12.15,7,28.6,1.1,52.5,3.6,Open Hearth iron,1.5,3.3
12.15,7,28.6,1.1,52.5,5.5,Open Hearth iron,1.5,4.4
12.15,7,28.6,1.1,52.5,7.7,Open Hearth iron,1.5,5
12.15,7,28.6,1.1,52.5,9.6,Open Hearth iron,1.5,8.1
12.15,7,28.6,1.1,52.5,11.6,Open Hearth iron,1.5,8.9
6.84,7.3,37.6,2,44.9,2.1,Open Hearth iron,1.5,1.9
6.84,7.3,37.6,2,44.9,4,Open Hearth iron,1.5,2.9
6.84,7.3,37.6,2,44.9,5.9,Open Hearth iron,1.5,3.8
6.84,7.3,37.6,2,44.9,7.9,Open Hearth iron,1.5,3.8
6.84,7.3,37.6,2,44.9,12,Open Hearth iron,1.5,6
6.84,7.3,37.6,2,44.9,17.6,Open Hearth iron,1.5,7.8
177.9,4.8,29.1,18.2,46.1,2,Open Hearth iron,1.5,1.5
177.9,4.8,29.1,18.2,46.1,4,Open Hearth iron,1.5,2.9
177.9,4.8,29.1,18.2,46.1,5.9,Open Hearth iron,1.5,3.2
177.9,4.8,29.1,18.2,46.1,7.9,Open Hearth iron,1.5,3.7
177.9,4.8,29.1,18.2,46.1,12,Open Hearth iron,1.5,4.2
177.9,4.8,29.1,18.2,46.1,17.6,Open Hearth iron,1.5,3.7
66.7,5.6,22.2,7,17.7,1.1,Open Hearth iron,1.5,1.5
66.7,5.6,22.2,7,17.7,4,Open Hearth iron,1.5,3.7
66.7,5.6,22.2,7,17.7,6.1,Open Hearth iron,1.5,4.5
66.7,5.6,22.2,7,17.7,8,Open Hearth iron,1.5,5.2
66.7,5.6,22.2,7,17.7,12,Open Hearth iron,1.5,7
13.15,7,28.8,4.9,35.8,1.9,Open Hearth iron,1.5,1.1
13.15,7,28.8,4.9,35.8,4.1,Open Hearth iron,1.5,1.5
13.15,7,28.8,4.9,35.8,6.2,Open Hearth iron,1.5,4.9
13.15,7,28.8,4.9,35.8,8.1,Open Hearth iron,1.5,5.9
13.15,7,28.8,4.9,35.8,12.1,Open Hearth iron,1.5,6.5
13.15,7,28.8,4.9,35.8,17.5,Open Hearth iron,1.5,7.2
431,5.9,12.2,40.6,7.2,1.9,Open Hearth iron,1.5,0.2
431,5.9,12.2,40.6,7.2,4.1,Open Hearth iron,1.5,0.7
431,5.9,12.2,40.6,7.2,6.2,Open Hearth iron,1.5,0.6
431,5.9,12.2,40.6,7.2,8.1,Open Hearth iron,1.5,0.8
431,5.9,12.2,40.6,7.2,12.1,Open Hearth iron,1.5,1
431,5.9,12.2,40.6,7.2,17.5,Open Hearth iron,1.5,2.2
21.2,4.4,34.3,3.7,63.6,1,Open Hearth iron,1.5,0.5
21.2,4.4,34.3,3.7,63.6,3.5,Open Hearth iron,1.5,2.4
21.2,4.4,34.3,3.7,63.6,7.7,Open Hearth iron,1.5,4
21.2,4.4,34.3,3.7,63.6,11.5,Open Hearth iron,1.5,5
21.2,4.4,34.3,3.7,63.6,16.9,Open Hearth iron,1.5,7.6
3.3,7.6,37,8.7,70.1,1.1,Open Hearth iron,1.5,0.7
3.3,7.6,37,8.7,70.1,3.8,Open Hearth iron,1.5,1.9
3.3,7.6,37,8.7,70.1,5.8,Open Hearth iron,1.5,3.2
3.3,7.6,37,8.7,70.1,7.7,Open Hearth iron,1.5,3.3
3.3,7.6,37,8.7,70.1,9.9,Open Hearth iron,1.5,5.1
