Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
35.2,6.2,17.2,7.66,14.4,13.9,1.5,Bessemer Steel,4.18
30.57,5.87,30.16,5.23,3.98,36.84,3.0,Wrought Iron,3.59
28.2,6.8,24.8,7.67,15.8,52.1,1.5,Bessemer Steel,3.0
9.7,6.0,33.0,8.35,2.3,47.1,3.0,Wrought Iron,7.19
35.2,6.2,17.2,3.8,14.4,13.9,1.5,Bessemer Steel,2.4
23.7,6.2,31.2,3.91,10.8,30.9,1.5,Bessemer Steel,2.39
2.63,7.4,14.8,1.64,18.7,26.7,3.0,Wrought Iron,1.4
0.6,3.1,55.4,8.0,68.9,65.0,3.0,Open Hearth iron,10.8
17.56,7.61,25.81,4.0,2.65,46.1,2.94,Open Hearth iron,1.19
57.0,7.3,17.8,9.6,11.7,15.8,3.0,Bessemer Steel,2.8
6.79,7.26,37.56,6.0,1.94,44.97,2.96,Bessemer Steel,3.84
17.8,7.2,25.8,11.7,9.5,36.0,3.0,Bessemer Steel,3.3
8.0,6.8,72.8,2.86,34.0,46.2,3.0,Wrought Iron,2.68
386.0,4.5,3.0,17.2,32.1,2.6,3.0,Bessemer Steel,2.8
49.0,6.7,23.4,6.46,14.7,35.1,3.0,Wrought Iron,2.93
12.76,4.32,34.46,5.9,26.71,70.97,1.52,Bessemer Steel,9.76
28.93,7.59,22.27,7.6,3.76,36.39,3.08,Wrought Iron,3.33
66.7,5.6,22.2,8.0,7.0,17.7,1.5,Open Hearth iron,5.2
83.0,4.42,22.22,4.1,11.98,26.51,1.71,Bessemer Steel,3.04
2.78,9.4,24.7,7.93,6.1,6.2,1.5,Bessemer Steel,18.49
28.24,6.88,24.7,11.6,15.75,52.16,1.48,Open Hearth iron,4.54
20.6,7.3,18.0,8.43,10.9,26.0,3.0,Open Hearth iron,2.06
51.5,4.9,28.4,8.53,9.6,22.3,1.5,Bessemer Steel,5.94
112.0,3.8,7.0,10.1,3.5,4.5,3.0,Wrought Iron,8.2
205.04,4.69,2.91,8.0,38.06,0.46,3.02,Wrought Iron,2.17
205.12,4.69,2.86,1.8,38.28,0.61,1.68,Bessemer Steel,1.62
51.51,4.85,28.1,3.6,9.78,22.55,1.41,Open Hearth iron,3.14
112.0,3.8,7.0,10.1,3.5,4.5,3.0,Bessemer Steel,8.5
9.9,5.89,32.98,8.0,2.31,47.04,3.01,Wrought Iron,7.05
5.7,3.7,42.6,10.8,1.9,87.8,3.0,Wrought Iron,7.1
2.78,9.4,24.7,3.4,6.1,6.2,3.0,Open Hearth iron,9.88
1.27,7.02,29.35,11.6,7.11,32.27,1.39,Open Hearth iron,5.09
3.05,9.36,21.74,1.9,34.71,9.44,3.01,Wrought Iron,3.89
2.34,8.8,28.7,9.24,5.0,24.5,1.5,Bessemer Steel,28.12
74.62,6.55,12.83,1.2,27.82,6.67,1.34,Wrought Iron,1.15
28.26,7.0,24.86,16.9,15.84,52.11,3.13,Bessemer Steel,5.05
15.0,7.0,7.6,10.79,23.2,30.9,1.5,Open Hearth iron,4.0
11.4,7.3,28.4,5.6,16.6,20.3,3.0,Wrought Iron,2.9
74.4,5.6,24.2,5.96,7.5,15.3,1.5,Bessemer Steel,2.7
17.7,7.6,25.7,12.1,2.6,46.1,3.0,Wrought Iron,3.2
178.02,4.74,29.12,3.8,18.18,46.08,1.6,Wrought Iron,3.09
9.7,6.0,33.0,11.68,2.3,47.1,1.5,Open Hearth iron,6.9
4.08,6.8,24.6,9.0,2.5,62.6,3.0,Wrought Iron,16.8
177.9,4.8,29.1,7.22,18.2,46.1,3.0,Open Hearth iron,3.93
21.31,4.44,34.18,1.0,3.82,63.76,2.99,Bessemer Steel,0.68
31.9,7.1,12.4,1.9,33.5,12.8,1.5,Open Hearth iron,0.2
82.9,4.4,22.2,3.44,12.0,26.5,3.0,Wrought Iron,2.7
13.2,5.3,33.1,7.9,6.9,40.3,3.0,Bessemer Steel,4.6
2.94,9.45,24.71,10.3,6.09,6.11,1.69,Bessemer Steel,18.77
5.7,3.7,42.6,8.0,1.9,87.8,3.0,Bessemer Steel,3.9
3.3,7.6,37.0,7.5,8.7,70.1,1.5,Open Hearth iron,3.29
11.38,7.25,28.36,7.7,16.59,20.32,3.02,Bessemer Steel,2.26
49.0,6.7,23.4,1.4,14.7,35.1,3.0,Wrought Iron,1.4
31.8,5.82,30.38,4.75,10.45,28.39,1.5,Wrought Iron,3.58
12.15,7.0,28.6,1.0,1.1,46.2,1.5,Open Hearth iron,1.1
2.78,9.4,24.7,5.49,6.1,6.2,3.0,Open Hearth iron,13.53
59.8,4.5,30.8,12.92,4.4,51.7,3.0,Wrought Iron,10.36
17.73,7.51,25.81,4.0,2.51,46.13,1.63,Wrought Iron,2.12
35.2,6.2,17.2,5.57,14.4,13.9,1.5,Open Hearth iron,2.35
51.5,4.9,28.4,7.34,9.6,22.3,1.5,Open Hearth iron,5.65
386.0,4.5,3.0,1.45,32.1,2.6,3.0,Bessemer Steel,0.31
28.9,7.5,22.4,1.98,3.8,36.3,1.5,Open Hearth iron,1.39
17.7,7.6,25.7,5.94,2.6,46.1,1.5,Bessemer Steel,1.58
17.8,7.2,25.8,1.0,9.5,36.0,3.0,Wrought Iron,0.3
74.4,5.6,24.2,1.65,7.5,15.3,3.0,Open Hearth iron,1.47
111.85,4.53,13.81,8.0,15.97,17.54,2.89,Open Hearth iron,2.1
31.9,7.1,12.4,17.5,33.5,12.8,3.0,Open Hearth iron,4.8
9.7,6.0,33.0,10.35,2.3,47.1,3.0,Wrought Iron,8.19
29.8,7.3,46.4,5.07,20.9,18.6,1.5,Wrought Iron,2.12
29.8,7.3,46.4,3.58,20.9,18.6,3.0,Bessemer Steel,2.17
1.3,7.0,29.4,9.42,7.2,32.4,1.5,Open Hearth iron,4.49
48.85,6.71,23.46,8.2,14.71,35.06,3.12,Wrought Iron,3.5
