Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
16.79,7.5,26.17,14.47,2.35,47.15,3.0,Wrought Iron,5.33
10.0,8.8,31.2,1.1,7.2,31.2,3.0,Bessemer Steel,0.4
6.84,7.3,37.6,7.71,2.0,44.9,1.5,Open Hearth iron,3.8
110.0,5.3,32.0,2.87,15.5,53.1,3.0,Bessemer Steel,0.74
59.8,4.5,30.8,15.52,4.4,51.7,3.0,Wrought Iron,9.81
10.0,8.8,31.2,9.3,7.2,31.2,1.5,Bessemer Steel,3.21
137.0,4.7,34.8,5.86,14.9,45.8,1.5,Bessemer Steel,7.2
28.9,7.5,22.4,1.0,3.8,36.3,3.0,Open Hearth iron,1.0
4.89,7.5,54.4,17.6,5.7,70.4,1.5,Wrought Iron,12.4
15.0,7.0,7.6,5.01,23.2,30.9,1.5,Bessemer Steel,2.97
13.2,5.3,33.1,4.0,6.9,40.3,1.5,Bessemer Steel,3.0
11.4,7.3,28.4,9.9,16.6,20.3,3.0,Bessemer Steel,3.06
59.8,4.5,30.8,1.34,4.4,51.7,3.0,Bessemer Steel,1.71
5.68,3.76,42.52,2.0,1.85,87.88,1.65,Bessemer Steel,0.67
19.7,4.6,28.4,10.1,3.9,34.2,3.0,Wrought Iron,3.12
82.83,4.48,22.14,9.9,12.2,26.6,1.34,Bessemer Steel,6.15
17.8,7.2,25.8,5.11,9.5,36.0,3.0,Wrought Iron,1.47
10.0,8.91,31.24,5.5,7.17,31.12,1.45,Wrought Iron,2.21
12.7,4.2,34.5,12.0,26.6,71.2,3.0,Wrought Iron,15.6
10.0,8.8,31.2,5.01,7.2,31.2,3.0,Wrought Iron,1.87
13.15,7.0,28.8,16.08,4.9,35.8,3.0,Wrought Iron,8.61
13.15,7.0,28.8,6.96,4.9,35.8,1.5,Open Hearth iron,5.3
66.7,5.6,22.2,8.0,7.0,17.7,3.0,Open Hearth iron,5.5
2.63,7.4,14.8,9.8,18.7,26.7,1.5,Wrought Iron,11.9
3.29,7.56,36.99,5.7,8.8,70.09,1.62,Open Hearth iron,3.14
12.7,4.2,34.5,4.32,26.6,71.2,3.0,Open Hearth iron,7.57
3.3,7.6,37.0,9.9,8.7,70.1,3.0,Open Hearth iron,5.3
1.2,6.98,29.36,5.7,7.08,32.59,1.67,Open Hearth iron,1.65
17.48,7.55,24.25,2.34,4.25,44.89,1.5,Bessemer Steel,0.72
20.67,7.32,17.89,8.0,10.84,25.95,1.35,Wrought Iron,2.05
23.7,6.2,31.2,2.66,10.8,30.9,1.5,Bessemer Steel,2.24
12.15,7.0,28.6,9.76,1.1,52.5,3.0,Bessemer Steel,9.12
2.9,9.5,21.7,1.9,34.5,9.4,1.5,Bessemer Steel,3.4
31.9,7.1,12.4,5.79,33.5,12.8,1.5,Wrought Iron,2.22
11.4,7.3,28.4,7.7,16.6,20.3,3.0,Bessemer Steel,2.3
28.2,6.8,24.8,16.82,15.8,52.1,1.5,Bessemer Steel,5.39
35.2,6.2,17.2,1.7,14.4,13.9,3.0,Wrought Iron,0.82
112.0,4.5,13.8,8.0,16.0,17.6,1.5,Open Hearth iron,2.0
0.6,3.1,55.4,4.46,68.9,65.0,3.0,Wrought Iron,5.13
9.7,6.0,33.0,6.0,2.3,47.1,3.0,Bessemer Steel,6.1
13.2,5.3,33.1,10.67,6.9,40.3,3.0,Wrought Iron,5.75
8.0,6.8,72.8,4.98,34.0,46.2,3.0,Open Hearth iron,4.78
9.7,6.0,33.0,10.0,2.3,47.1,1.5,Wrought Iron,7.2
204.93,4.87,2.72,12.0,38.09,0.45,2.97,Open Hearth iron,2.84
112.0,4.5,13.8,2.73,16.0,17.6,1.5,Open Hearth iron,1.27
17.88,7.23,25.75,7.6,9.42,35.82,1.47,Bessemer Steel,2.06
51.5,4.9,28.4,3.7,9.6,22.3,1.5,Bessemer Steel,3.7
136.98,4.73,34.76,8.0,14.87,45.69,1.52,Wrought Iron,7.64
13.15,7.0,28.8,10.72,4.9,35.8,3.0,Open Hearth iron,6.75
49.0,6.7,23.4,9.46,14.7,35.1,1.5,Wrought Iron,4.45
112.0,3.8,7.0,10.93,3.5,4.5,1.5,Bessemer Steel,8.18
31.9,7.1,12.4,4.1,33.5,12.8,3.0,Wrought Iron,1.5
57.0,7.3,17.8,7.82,11.7,15.8,3.0,Open Hearth iron,2.58
57.0,7.3,17.8,1.0,11.7,15.8,3.0,Bessemer Steel,0.4
430.99,5.92,12.06,6.2,40.63,7.11,1.4,Bessemer Steel,0.46
20.56,7.37,18.03,7.9,10.98,26.06,1.34,Bessemer Steel,1.71
31.9,7.1,12.4,1.9,33.5,12.8,3.0,Open Hearth iron,0.2
111.97,3.81,7.19,12.0,3.51,4.63,1.43,Wrought Iron,9.02
110.0,5.3,32.0,9.22,15.5,53.1,3.0,Open Hearth iron,1.66
11.4,7.3,28.4,11.7,16.6,20.3,1.5,Bessemer Steel,3.6
7.85,6.77,72.73,5.8,34.02,46.05,1.5,Open Hearth iron,4.78
2.63,7.4,14.8,5.8,18.7,26.7,1.5,Open Hearth iron,2.9
0.6,3.1,55.4,1.55,68.9,65.0,3.0,Open Hearth iron,2.47
0.6,3.1,55.4,9.43,68.9,65.0,1.5,Wrought Iron,12.37
31.9,7.1,12.4,16.01,33.5,12.8,3.0,Wrought Iron,5.01
21.2,4.4,34.3,11.5,3.7,63.6,3.0,Open Hearth iron,4.9
13.2,5.3,33.1,12.94,6.9,40.3,3.0,Wrought Iron,6.33
85.0,4.9,29.4,9.34,5.4,1.2,1.5,Bessemer Steel,4.29
110.13,5.29,32.11,1.4,15.44,53.09,1.53,Open Hearth iron,0.33
74.7,6.71,13.1,1.4,27.83,6.74,1.48,Open Hearth iron,1.53
20.6,7.3,18.0,13.98,10.9,26.0,1.5,Open Hearth iron,1.57
4.81,7.4,54.41,2.0,5.86,70.52,1.45,Open Hearth iron,2.38
4.37,6.71,24.94,8.76,3.32,62.89,3.0,Bessemer Steel,15.11
4.89,7.5,54.4,5.9,5.7,70.4,1.5,Wrought Iron,6.1
111.94,4.34,13.94,4.2,16.05,17.64,3.07,Bessemer Steel,1.56
0.65,3.09,55.47,1.4,69.06,65.17,1.59,Wrought Iron,1.68
177.9,4.8,29.1,2.81,18.2,46.1,1.5,Open Hearth iron,2.07
17.84,7.23,25.67,17.0,9.52,35.87,1.44,Open Hearth iron,2.87
114.0,4.5,13.0,7.9,34.7,5.6,1.5,Wrought Iron,1.0
9.7,6.0,33.0,2.0,2.3,47.1,1.5,Wrought Iron,2.1
112.0,4.5,13.8,4.29,16.0,17.6,3.0,Open Hearth iron,1.71
431.24,5.81,11.99,6.4,40.49,7.26,2.87,Open Hearth iron,0.8
57.0,7.3,17.8,9.6,11.7,15.8,3.0,Wrought Iron,3.0
8.01,6.79,72.77,11.6,33.95,46.26,3.15,Open Hearth iron,11.54
20.6,7.3,18.0,12.22,10.9,26.0,3.0,Bessemer Steel,2.52
23.82,6.15,31.15,6.0,10.72,30.91,2.95,Open Hearth iron,5.3
12.15,7.0,28.6,5.17,1.1,52.5,1.5,Wrought Iron,5.24
0.6,3.1,55.4,1.3,68.9,65.0,3.0,Open Hearth iron,2.2
15.0,7.0,7.6,5.1,23.2,30.9,3.0,Bessemer Steel,2.6
20.6,7.3,18.0,7.43,10.9,26.0,3.0,Wrought Iron,1.72
74.4,5.6,24.2,9.9,7.5,15.3,3.0,Open Hearth iron,5.0
177.9,4.8,29.1,14.26,18.2,46.1,1.5,Open Hearth iron,4.0
137.0,4.7,34.8,7.51,14.9,45.8,1.5,Wrought Iron,7.77
11.26,7.35,28.35,5.5,16.4,20.19,1.4,Bessemer Steel,2.64
31.9,7.1,12.4,5.11,33.5,12.8,1.5,Bessemer Steel,2.48
10.0,8.8,31.2,4.13,7.2,31.2,1.5,Wrought Iron,1.9
2.34,8.8,28.7,11.47,5.0,24.5,1.5,Bessemer Steel,31.44
385.8,4.67,2.94,3.9,32.09,2.53,2.94,Open Hearth iron,0.36
28.9,7.5,22.4,9.86,3.8,36.3,3.0,Open Hearth iron,4.79
29.8,7.3,46.4,10.05,20.9,18.6,3.0,Open Hearth iron,2.86
137.0,4.7,34.8,2.0,14.9,45.8,3.0,Bessemer Steel,2.9
110.0,5.3,32.0,3.29,15.5,53.1,3.0,Wrought Iron,0.84
10.01,8.56,31.26,7.6,7.25,31.25,1.48,Wrought Iron,2.35
19.08,6.77,59.45,8.92,28.79,43.2,1.5,Wrought Iron,10.57
177.9,4.8,29.1,12.0,18.2,46.1,3.0,Bessemer Steel,3.8
114.0,4.5,13.0,7.52,34.7,5.6,1.5,Wrought Iron,1.04
12.15,7.0,28.6,10.92,1.1,52.5,3.0,Open Hearth iron,9.7
164.47,5.41,6.91,13.13,30.87,4.76,1.5,Wrought Iron,3.19
137.0,4.7,34.8,11.53,14.9,45.8,1.5,Wrought Iron,15.5
20.6,7.3,18.0,12.1,10.9,26.0,3.0,Bessemer Steel,2.5
20.64,7.25,18.07,4.3,10.89,26.0,3.14,Open Hearth iron,2.11
3.3,7.6,37.0,9.9,8.7,70.1,3.0,Wrought Iron,5.2
1.3,7.0,29.4,1.18,7.2,32.4,3.0,Bessemer Steel,1.11
2.34,8.8,28.7,5.11,5.0,24.5,1.5,Bessemer Steel,13.05
112.0,4.5,13.8,8.08,16.0,17.6,3.0,Bessemer Steel,2.11
21.2,6.73,28.89,4.4,14.13,26.66,1.5,Wrought Iron,2.34
74.4,5.6,24.2,7.23,7.5,15.3,3.0,Open Hearth iron,4.11
1.3,7.0,29.4,1.79,7.2,32.4,1.5,Wrought Iron,0.98
13.01,7.06,28.79,8.2,4.73,35.92,3.0,Wrought Iron,5.34
12.7,4.2,34.5,6.0,26.6,71.2,1.5,Bessemer Steel,9.9
8.0,6.8,72.8,1.0,34.0,46.2,3.0,Wrought Iron,0.4
49.0,6.7,23.4,11.0,14.7,35.1,3.0,Bessemer Steel,4.82
51.5,4.9,28.4,8.34,9.6,22.3,1.5,Open Hearth iron,6.07
11.4,7.3,28.4,6.39,16.6,20.3,1.5,Open Hearth iron,2.11
13.2,5.3,33.1,1.5,6.9,40.3,3.0,Bessemer Steel,0.4
26.25,6.67,24.13,4.05,3.83,35.7,3.0,Wrought Iron,1.56
28.2,6.8,24.8,10.16,15.8,52.1,3.0,Open Hearth iron,4.44
12.7,4.2,34.5,2.0,26.6,71.2,1.5,Wrought Iron,3.3
2.63,7.4,14.8,11.7,18.7,26.7,3.0,Open Hearth iron,11.3
10.0,8.8,31.2,3.6,7.2,31.2,3.0,Open Hearth iron,1.4
28.9,7.5,22.4,4.8,3.8,36.3,3.0,Open Hearth iron,2.26
112.0,3.8,7.0,8.0,3.5,4.5,1.5,Bessemer Steel,5.2
31.9,7.1,12.4,4.92,33.5,12.8,1.5,Open Hearth iron,2.1
13.28,6.92,28.92,4.0,4.9,35.93,1.55,Bessemer Steel,2.3
12.15,7.0,28.6,9.6,1.1,52.5,1.5,Wrought Iron,9.4
137.12,4.79,34.87,1.9,14.94,45.7,3.2,Bessemer Steel,2.81
3.3,7.6,37.0,4.26,8.7,70.1,3.0,Wrought Iron,1.98
14.89,5.07,44.05,7.68,9.14,61.42,3.0,Open Hearth iron,1.93
111.89,4.36,13.82,17.7,16.02,17.56,1.46,Open Hearth iron,3.28
66.7,5.6,22.2,1.1,7.0,17.7,3.0,Wrought Iron,1.4
9.7,6.0,33.0,8.0,2.3,47.1,3.0,Bessemer Steel,8.2
74.49,6.5,12.84,12.0,27.73,6.7,1.48,Bessemer Steel,5.34
197.02,5.04,24.82,8.08,19.53,39.4,3.0,Bessemer Steel,1.21
4.08,6.8,24.6,8.39,2.5,62.6,3.0,Bessemer Steel,14.43
35.2,6.2,17.2,9.29,14.4,13.9,3.0,Wrought Iron,4.14
19.7,4.6,28.4,3.7,3.9,34.2,1.5,Wrought Iron,1.5
177.91,4.89,29.16,5.8,18.22,46.09,2.89,Bessemer Steel,3.49
431.05,5.91,12.29,8.3,40.67,7.17,1.39,Wrought Iron,1.06
19.7,4.6,28.4,3.7,3.9,34.2,1.5,Bessemer Steel,2.2
19.7,4.6,28.4,6.26,3.9,34.2,1.5,Wrought Iron,3.0
205.0,4.7,2.8,4.1,38.1,0.6,3.0,Bessemer Steel,2.1
3.3,7.6,37.0,11.8,8.7,70.1,3.0,Wrought Iron,8.7
17.7,7.6,25.7,6.57,2.6,46.1,1.5,Wrought Iron,1.65
17.7,7.6,25.7,6.1,2.6,46.1,3.0,Wrought Iron,1.9
9.7,6.0,33.0,6.86,2.3,47.1,1.5,Bessemer Steel,5.39
385.92,4.53,3.1,17.1,31.99,2.65,3.09,Bessemer Steel,2.82
0.6,3.1,55.4,1.32,68.9,65.0,3.0,Bessemer Steel,2.34
11.48,7.29,28.38,11.8,16.55,20.31,1.53,Wrought Iron,2.79
9.6,5.86,32.98,10.0,2.34,47.05,2.93,Open Hearth iron,7.27
6.84,7.3,37.6,13.35,2.0,44.9,3.0,Wrought Iron,6.74
2.63,7.4,14.8,1.2,18.7,26.7,3.0,Wrought Iron,1.1
3.3,7.6,37.0,11.77,8.7,70.1,1.5,Bessemer Steel,6.47
205.0,4.7,2.8,11.79,38.1,0.6,1.5,Bessemer Steel,2.71
3.3,7.6,37.0,6.55,8.7,70.1,1.5,Open Hearth iron,3.24
431.0,5.9,12.2,2.78,40.6,7.2,1.5,Open Hearth iron,0.4
137.0,4.7,34.8,12.0,14.9,45.8,1.5,Open Hearth iron,10.6
12.15,7.0,28.6,4.22,1.1,52.5,1.5,Wrought Iron,4.49
52.34,5.74,27.2,8.59,5.73,26.14,1.5,Open Hearth iron,3.88
28.85,7.6,22.26,7.7,3.86,36.26,1.4,Wrought Iron,3.44
177.9,4.8,29.1,17.6,18.2,46.1,3.0,Bessemer Steel,4.3
11.44,7.31,28.35,3.9,16.63,20.41,1.64,Wrought Iron,1.83
51.42,4.92,28.42,3.8,9.67,22.26,2.99,Open Hearth iron,3.7
2.9,9.5,21.7,4.2,34.5,9.4,1.5,Open Hearth iron,2.7
177.82,4.84,29.08,17.6,18.27,46.06,3.03,Wrought Iron,4.74
11.4,7.3,28.4,11.7,16.6,20.3,1.5,Wrought Iron,2.7
6.84,7.3,37.6,2.72,2.0,44.9,1.5,Wrought Iron,2.32
109.94,5.37,32.12,12.0,15.4,53.05,3.04,Open Hearth iron,2.25
28.4,6.57,44.7,12.9,7.6,57.17,1.5,Wrought Iron,9.42
110.0,5.3,32.0,4.13,15.5,53.1,3.0,Bessemer Steel,1.02
205.0,4.7,2.8,4.1,38.1,0.6,1.5,Bessemer Steel,2.2
4.89,7.5,54.4,2.0,5.7,70.4,3.0,Bessemer Steel,2.7
82.99,4.32,22.19,6.1,12.06,26.61,2.95,Open Hearth iron,4.43
31.77,7.14,12.37,4.1,33.55,12.95,3.09,Open Hearth iron,1.45
2.63,7.4,14.8,9.8,18.7,26.7,1.5,Bessemer Steel,12.1
136.91,4.75,34.93,10.2,14.83,45.77,1.58,Open Hearth iron,11.68
9.7,6.0,33.0,8.0,2.3,47.1,3.0,Open Hearth iron,7.1
6.84,7.3,37.6,5.9,2.0,44.9,3.0,Open Hearth iron,3.1
66.7,5.6,22.2,4.0,7.0,17.7,1.5,Bessemer Steel,3.5
5.56,3.74,42.42,4.0,1.82,87.8,1.43,Bessemer Steel,2.57
6.84,7.3,37.6,9.23,2.0,44.9,1.5,Wrought Iron,4.8
2.78,9.4,24.7,6.2,6.1,6.2,3.0,Open Hearth iron,14.5
4.15,6.68,24.65,7.5,2.62,62.47,1.57,Wrought Iron,12.63
57.09,7.36,17.88,9.7,11.73,15.88,3.07,Open Hearth iron,2.31
12.7,4.2,34.5,10.39,26.6,71.2,3.0,Wrought Iron,15.04
2.9,9.5,21.7,3.75,34.5,9.4,1.5,Wrought Iron,6.22
13.25,7.09,28.72,6.2,4.74,35.77,1.47,Wrought Iron,5.01
28.2,6.8,24.8,9.19,15.8,52.1,1.5,Open Hearth iron,3.79
82.94,4.18,22.16,4.1,11.87,26.59,2.83,Open Hearth iron,2.86
9.7,6.0,33.0,5.23,2.3,47.1,3.0,Open Hearth iron,5.67
3.19,7.47,37.02,11.7,8.74,69.93,3.02,Bessemer Steel,8.19
114.0,4.5,13.0,17.2,34.7,5.6,1.5,Open Hearth iron,1.3
28.9,7.5,22.4,7.42,3.8,36.3,1.5,Open Hearth iron,2.66
112.0,4.5,13.8,6.0,16.0,17.6,3.0,Wrought Iron,1.4
59.66,4.59,30.73,5.9,4.47,51.73,1.73,Wrought Iron,5.74
12.15,7.0,28.6,10.6,1.1,52.5,1.5,Bessemer Steel,9.05
17.8,7.2,25.8,5.93,9.5,36.0,3.0,Open Hearth iron,1.71
10.0,8.8,31.2,5.87,7.2,31.2,3.0,Open Hearth iron,2.19
29.8,7.3,46.4,3.39,20.9,18.6,1.5,Bessemer Steel,1.76
110.0,5.3,32.0,7.31,15.5,53.1,3.0,Wrought Iron,1.45
20.6,7.3,18.0,7.89,10.9,26.0,1.5,Bessemer Steel,1.66
109.93,5.24,31.93,4.2,15.66,53.11,3.07,Wrought Iron,0.9
28.6,7.41,22.6,1.35,3.8,36.23,1.5,Bessemer Steel,1.07
386.0,4.5,3.0,7.55,32.1,2.6,1.5,Wrought Iron,1.71
28.2,6.8,24.8,9.85,15.8,52.1,3.0,Bessemer Steel,3.99
82.9,4.4,22.2,12.0,12.0,26.5,3.0,Bessemer Steel,7.5
59.8,4.5,30.8,7.48,4.4,51.7,1.5,Open Hearth iron,6.26
49.0,6.7,23.4,10.12,14.7,35.1,3.0,Open Hearth iron,3.94
20.6,7.3,18.0,3.59,10.9,26.0,1.5,Wrought Iron,1.74
112.0,3.91,8.05,4.41,5.42,6.51,1.5,Open Hearth iron,2.45
92.35,5.71,27.57,9.64,19.57,43.99,3.0,Wrought Iron,1.59
4.86,7.39,54.3,12.1,5.79,70.17,3.02,Open Hearth iron,8.13
205.0,4.7,2.8,2.0,38.1,0.6,3.0,Bessemer Steel,1.3
1.24,6.93,29.59,5.8,7.21,32.44,3.02,Bessemer Steel,2.56
38.88,5.49,29.67,3.65,10.14,26.2,3.0,Bessemer Steel,2.85
110.0,5.3,32.0,10.0,15.5,53.1,3.0,Open Hearth iron,1.8
12.01,7.12,28.52,11.7,1.04,52.47,1.63,Open Hearth iron,8.92
54.45,6.69,18.12,8.07,22.59,26.36,3.0,Bessemer Steel,3.01
12.15,7.0,28.6,3.91,1.1,52.5,3.0,Open Hearth iron,4.4
17.8,7.2,25.8,3.7,9.5,36.0,1.5,Open Hearth iron,0.6
10.0,8.8,31.2,6.66,7.2,31.2,3.0,Bessemer Steel,2.0
20.6,7.3,18.0,5.03,10.9,26.0,1.5,Bessemer Steel,1.22
1.3,7.0,29.4,11.43,7.2,32.4,1.5,Bessemer Steel,5.24
11.4,7.3,28.4,1.76,16.6,20.3,3.0,Wrought Iron,0.59
59.8,4.5,30.8,6.44,4.4,51.7,1.5,Wrought Iron,6.26
0.6,3.1,55.4,8.81,68.9,65.0,1.5,Bessemer Steel,13.79
17.25,7.55,25.94,15.78,2.48,46.62,3.0,Open Hearth iron,6.08
9.7,6.0,33.0,10.0,2.3,47.1,3.0,Bessemer Steel,9.3
4.89,7.5,54.4,17.6,5.7,70.4,3.0,Open Hearth iron,16.0
74.6,6.6,13.0,4.82,27.8,6.6,1.5,Open Hearth iron,2.18
31.9,7.1,12.4,15.57,33.5,12.8,3.0,Open Hearth iron,4.37
82.9,4.4,22.2,10.76,12.0,26.5,1.5,Open Hearth iron,7.31
10.0,8.8,31.2,11.3,7.2,31.2,1.5,Bessemer Steel,3.46
2.63,7.4,14.8,5.81,18.7,26.7,3.0,Bessemer Steel,3.2
20.6,7.3,18.0,6.2,10.9,26.0,3.0,Wrought Iron,0.9
74.4,5.6,24.2,8.34,7.5,15.3,3.0,Wrought Iron,4.97
17.8,7.2,25.8,17.0,9.5,36.0,1.5,Open Hearth iron,3.0
13.15,7.0,28.8,5.99,4.9,35.8,1.5,Open Hearth iron,4.56
14.89,7.08,7.58,11.8,23.14,30.82,2.95,Bessemer Steel,5.81
13.12,7.28,32.19,7.54,11.5,63.0,1.5,Open Hearth iron,5.32
59.8,4.5,30.8,1.2,4.4,51.7,1.5,Bessemer Steel,1.4
85.0,4.9,29.4,13.9,5.4,1.2,1.5,Bessemer Steel,4.39
29.8,7.3,46.4,6.5,20.9,18.6,1.5,Bessemer Steel,1.55
15.0,7.0,7.6,10.35,23.2,30.9,3.0,Open Hearth iron,4.43
111.93,3.88,7.02,1.8,3.52,4.44,2.95,Wrought Iron,2.32
15.01,6.91,7.63,8.0,23.18,30.68,3.0,Open Hearth iron,3.51
386.0,4.5,3.0,14.68,32.1,2.6,3.0,Bessemer Steel,2.51
103.25,5.55,28.38,3.42,17.84,44.24,1.5,Wrought Iron,1.43
90.5,6.71,14.41,4.78,17.67,12.36,1.5,Wrought Iron,1.34
15.0,7.0,7.6,1.5,23.2,30.9,3.0,Wrought Iron,1.0
29.8,7.3,46.4,7.7,20.9,18.6,3.0,Open Hearth iron,1.5
4.85,7.48,54.47,1.9,5.66,70.48,1.55,Wrought Iron,2.03
114.0,4.5,13.0,6.93,34.7,5.6,1.5,Bessemer Steel,0.8
28.2,6.86,24.99,5.5,15.92,52.17,2.96,Bessemer Steel,2.56
6.84,7.3,37.6,5.9,2.0,44.9,1.5,Bessemer Steel,3.4
17.76,7.18,25.88,5.8,9.59,36.06,1.5,Open Hearth iron,1.78
112.0,4.5,13.8,17.7,16.0,17.6,1.5,Open Hearth iron,3.3
35.2,6.2,17.2,8.01,14.4,13.9,3.0,Open Hearth iron,2.02
35.85,5.84,29.44,6.04,4.4,34.25,3.0,Open Hearth iron,3.75
205.0,4.7,2.8,17.7,38.1,0.6,3.0,Bessemer Steel,4.1
13.05,5.33,33.01,1.7,6.77,40.23,3.04,Wrought Iron,0.45
6.84,7.3,37.6,4.15,2.0,44.9,3.0,Bessemer Steel,3.16
12.76,4.16,34.45,11.9,26.42,71.11,1.49,Open Hearth iron,21.51
28.9,7.5,22.4,5.79,3.8,36.3,3.0,Open Hearth iron,2.38
2.78,9.4,24.7,3.79,6.1,6.2,1.5,Wrought Iron,12.1
8.61,5.21,32.67,8.09,19.63,57.26,1.5,Open Hearth iron,14.1
386.0,4.5,3.0,4.0,32.1,2.6,1.5,Bessemer Steel,0.6
13.15,7.0,28.8,7.91,4.9,35.8,1.5,Open Hearth iron,5.8
110.0,5.3,32.0,1.99,15.5,53.1,3.0,Wrought Iron,0.54
12.7,4.2,34.5,6.9,26.6,71.2,1.5,Bessemer Steel,10.4
31.9,7.1,12.4,6.2,33.5,12.8,3.0,Wrought Iron,3.3
386.0,4.5,3.0,1.4,32.1,2.6,1.5,Bessemer Steel,0.2
4.89,7.5,54.4,17.6,5.7,70.4,3.0,Wrought Iron,12.5
15.0,7.0,7.6,4.27,23.2,30.9,1.5,Wrought Iron,3.1
110.0,5.3,32.0,7.8,15.5,53.1,1.5,Wrought Iron,2.2
386.0,4.5,3.0,12.0,32.1,2.6,3.0,Open Hearth iron,2.5
2.63,7.4,14.8,10.6,18.7,26.7,1.5,Bessemer Steel,10.92
74.4,5.6,24.2,9.9,7.5,15.3,3.0,Wrought Iron,5.3
10.0,8.8,31.2,9.62,7.2,31.2,3.0,Bessemer Steel,2.71
9.7,6.0,33.0,3.77,2.3,47.1,1.5,Open Hearth iron,3.7
82.9,4.4,22.2,2.6,12.0,26.5,1.5,Wrought Iron,2.92
6.84,7.3,37.6,2.41,2.0,44.9,3.0,Open Hearth iron,2.28
112.0,3.8,7.0,5.55,3.5,4.5,1.5,Wrought Iron,4.55
28.9,7.5,22.4,5.97,3.8,36.3,3.0,Wrought Iron,2.49
5.7,3.7,42.6,2.91,1.9,87.8,1.5,Bessemer Steel,1.46
250.61,4.98,12.21,10.34,21.41,8.12,1.5,Bessemer Steel,2.04
1.9,6.2,47.4,7.33,4.4,7.8,1.5,Bessemer Steel,11.6
2.81,9.39,24.65,10.4,6.06,6.27,3.03,Wrought Iron,19.8
389.03,6.01,13.87,3.47,37.01,10.07,1.5,Open Hearth iron,0.9
28.82,7.55,22.45,7.7,3.97,36.15,2.95,Bessemer Steel,3.46
178.16,4.89,29.26,1.9,18.09,46.18,3.08,Wrought Iron,1.56
26.26,7.11,18.45,2.43,19.96,12.65,3.0,Wrought Iron,1.81
2.78,9.4,24.7,6.72,6.1,6.2,1.5,Wrought Iron,17.09
66.7,5.6,22.2,2.77,7.0,17.7,3.0,Bessemer Steel,2.61
8.0,6.8,72.8,7.6,34.0,46.2,1.5,Open Hearth iron,8.4
3.3,7.6,37.0,5.8,8.7,70.1,1.5,Wrought Iron,3.2
31.9,7.1,12.4,3.86,33.5,12.8,1.5,Open Hearth iron,1.27
13.2,5.3,33.1,12.0,6.9,40.3,3.0,Bessemer Steel,6.0
13.15,7.0,28.8,4.1,4.9,35.8,3.0,Bessemer Steel,2.2
386.2,4.52,2.77,1.4,32.05,2.66,3.06,Wrought Iron,0.3
15.0,7.0,7.6,6.79,23.2,30.9,3.0,Open Hearth iron,3.35
13.15,7.0,28.8,1.9,4.9,35.8,3.0,Bessemer Steel,0.9
20.6,7.3,18.0,8.0,10.9,26.0,3.0,Open Hearth iron,2.1
13.2,5.3,33.1,1.53,6.9,40.3,3.0,Bessemer Steel,0.42
431.18,6.01,12.18,1.9,40.49,7.04,1.29,Bessemer Steel,0.23
28.2,6.8,24.8,16.9,15.8,52.1,1.5,Wrought Iron,6.0
11.4,7.3,28.4,1.2,16.6,20.3,3.0,Bessemer Steel,0.5
431.0,5.9,12.2,14.75,40.6,7.2,1.5,Bessemer Steel,1.19
52.1,5.8,32.0,8.93,15.5,13.2,1.5,Bessemer Steel,3.75
82.9,4.4,22.2,10.27,12.0,26.5,3.0,Open Hearth iron,6.39
142.17,5.06,26.88,12.3,14.6,36.97,1.5,Wrought Iron,3.71
4.89,7.5,54.4,7.95,5.7,70.4,1.5,Bessemer Steel,5.5
8.0,6.8,72.8,3.7,34.0,46.2,3.0,Wrought Iron,3.7
28.94,7.56,22.34,7.7,3.73,36.2,1.74,Bessemer Steel,2.55
137.0,4.7,34.8,6.0,14.9,45.8,3.0,Open Hearth iron,6.8
9.7,6.0,33.0,12.0,2.3,47.1,3.0,Bessemer Steel,7.0
431.0,5.9,12.2,5.99,40.6,7.2,1.5,Open Hearth iron,0.61
386.0,4.5,3.0,4.0,32.1,2.6,1.5,Wrought Iron,0.7
13.2,5.3,33.1,4.86,6.9,40.3,1.5,Bessemer Steel,3.52
49.0,6.7,23.4,8.05,14.7,35.1,3.0,Bessemer Steel,3.32
5.7,3.7,42.6,12.0,1.9,87.8,3.0,Open Hearth iron,7.0
12.15,7.0,28.6,9.6,1.1,52.5,3.0,Open Hearth iron,10.1
17.77,7.61,25.75,8.1,2.83,45.96,3.31,Open Hearth iron,2.09
112.0,3.8,7.0,9.77,3.5,4.5,1.5,Open Hearth iron,8.59
0.74,3.17,55.5,12.0,68.83,64.94,1.51,Open Hearth iron,15.46
5.7,3.7,42.6,12.0,1.9,87.8,3.0,Bessemer Steel,8.2
11.4,7.3,28.4,5.6,16.6,20.3,1.5,Open Hearth iron,2.3
16.8,7.4,19.64,5.02,9.5,41.01,3.0,Wrought Iron,1.84
42.92,6.71,30.72,2.93,17.56,36.75,1.5,Open Hearth iron,3.2
74.4,5.6,24.2,8.82,7.5,15.3,1.5,Bessemer Steel,3.99
17.84,7.33,25.99,5.8,9.48,36.2,3.0,Open Hearth iron,1.62
19.77,4.62,28.39,9.7,3.91,34.15,3.02,Wrought Iron,3.15
52.1,5.8,32.0,6.94,15.5,13.2,1.5,Bessemer Steel,3.13
